from,to,comm_from,comm_to
97323,132517,1,1
170509,42450,2,2
161566,102864,1,1
170509,76627,2,2
75689,34260,1,1
20111,161552,1,1
170509,42450,2,2
71582,145442,1,2
173494,155585,1,1
103103,130523,1,1
173494,70686,1,1
173494,164770,1,1
60827,36675,1,1
173494,107717,1,1
173494,173494,1,1
159793,42450,2,2
170509,158763,2,2
96105,159793,2,2
5536,42450,2,2
50471,45000,1,1
132625,132625,2,2
164787,162553,1,1
1194,102864,1,1
132625,72977,2,2
124721,124758,1,2
50471,102864,1,1
106726,102864,1,1
134306,102864,1,1
170509,158763,2,2
170509,158763,2,2
38128,96998,1,1
170509,158763,2,2
170509,45000,2,1
170509,33082,2,1
170509,158763,2,2
170509,149869,2,2
170509,158763,2,2
124721,96998,1,1
154237,42450,2,2
9124,89415,2,2
124548,139585,1,1
121847,16271,1,1
26707,26707,2,2
32720,102864,1,1
26707,26707,2,2
170509,109969,2,2
26707,26707,2,2
69720,17446,1,1
93970,79975,1,1
32720,17814,1,1
32720,125720,1,1
32906,17270,1,1
69720,116479,1,1
75766,103974,2,2
31873,71926,1,1
167791,116479,1,1
109966,141461,1,1
384,170646,2,2
159873,72977,2,2
35883,34260,2,1
170967,159411,1,1
159873,170646,2,2
75766,25239,2,2
20111,102864,1,1
56081,70686,1,1
56081,164770,1,1
159873,174293,2,2
159873,82867,2,2
157109,141461,1,1
157109,141461,1,1
157109,141461,1,1
157109,141461,1,1
42450,170646,2,2
170509,21107,2,2
10322,79975,1,1
170509,128180,2,2
35883,34260,2,1
77704,102864,1,1
155109,167791,1,1
60274,124721,1,1
159793,170646,2,2
35883,128180,2,2
131261,146227,2,1
131261,36386,2,1
467,36675,1,1
155585,130455,1,1
155585,102864,1,1
157109,10368,1,1
157109,124721,1,1
88236,102864,1,1
171438,144217,1,1
5536,170646,2,2
79975,10322,1,1
6808,93947,1,1
88236,144217,1,1
53787,116479,1,1
42450,21107,2,2
170646,4346,2,1
170646,123662,2,2
38128,93947,1,1
150781,93947,1,1
153938,102864,1,1
20396,103974,2,2
142228,139585,1,1
170509,53808,2,2
112721,144217,1,1
161965,38128,1,1
134306,93947,1,1
170509,151275,2,2
75766,44325,2,2
75766,89415,2,2
154237,154289,2,2
77704,102864,1,1
22527,16271,1,1
77704,102864,1,1
4346,170646,1,2
4346,123662,1,2
72544,36675,1,1
123852,102371,1,1
170509,128180,2,2
5536,102864,2,1
71867,44428,1,1
157109,93947,1,1
119196,102371,1,1
134306,45000,1,1
170646,4346,2,1
170646,123662,2,2
42450,3443,2,2
78989,89021,1,1
101447,128180,2,2
42450,69862,2,2
42450,128852,2,1
119196,1524,1,1
119196,9399,1,1
50892,96001,1,1
111130,166704,1,1
6808,36675,1,1
50892,102864,1,1
170646,4346,2,1
170646,123662,2,2
93970,102864,1,1
71582,102864,1,1
119196,124540,1,1
101447,151275,2,2
97892,44325,2,2
101447,53808,2,2
170646,123662,2,2
6808,132517,1,1
170509,75612,2,2
62323,13088,1,1
62323,112080,1,1
173938,93947,1,1
81991,93947,1,1
155585,93682,1,1
78989,38128,1,1
175253,102864,1,1
170646,4346,2,1
170646,123662,2,2
63643,167192,1,1
171438,154096,1,1
74859,102864,1,1
4813,123662,2,2
155585,9574,1,1
101447,128180,2,2
49060,78781,1,1
155585,38128,1,1
173616,141586,1,1
173616,130455,1,1
69343,58670,1,1
101447,24432,2,2
170646,4346,2,1
170646,123662,2,2
170509,155947,2,2
132066,173036,2,2
42450,123662,2,2
101447,21107,2,2
81991,102864,1,1
28558,102864,1,1
173616,36898,1,1
155585,96001,1,1
105870,44428,1,1
25239,102864,2,1
25239,87903,2,1
170646,4346,2,1
170646,123662,2,2
5536,102864,2,1
157109,93947,1,1
157109,130455,1,1
150036,102864,1,1
74859,102864,1,1
31873,130523,1,1
42450,44325,2,2
229,102864,1,1
31873,173494,1,1
97323,20248,1,1
5536,102864,2,1
6808,102864,1,1
170509,123662,2,2
81563,89021,1,1
170509,67104,2,2
