from,to,comm_from,comm_to
153628,31123,1,1
124540,102864,1,1
112721,102864,1,1
118341,58670,1,1
86857,142805,1,1
164770,137203,1,1
73021,67294,1,1
159037,105352,1,1
138422,150764,1,1
76377,105352,1,1
74677,20500,1,1
29669,20248,1,1
31873,168702,1,1
147905,40160,1,1
73021,102864,1,1
124003,117201,1,1
142228,23925,1,1
20248,75451,1,1
122173,105352,1,1
16002,43024,1,1
147905,92924,1,1
46722,112080,1,1
77704,63213,1,1
52179,154551,1,1
50114,102864,1,1
83117,93947,1,1
73021,102864,1,1
108557,74996,1,1
36506,75451,1,1
128560,102864,1,1
123003,96001,1,1
73021,98957,1,1
5070,137282,1,1
144602,40128,1,1
50114,102864,1,1
95650,28419,1,1
61072,124540,1,1
93970,102888,1,1
171070,45000,1,1
16771,112721,1,1
96823,175734,1,1
105870,6236,1,1
48544,114162,1,1
148690,71846,1,1
73021,155109,1,1
132263,31668,1,1
166017,126984,1,1
121450,177260,1,1
143370,45697,1,1
37199,6599,1,1
152414,100702,1,1
126903,20111,1,1
111130,137203,1,1
162024,67086,1,1
35524,93947,1,1
2819,164292,1,1
126854,154072,1,1
81563,93682,1,1
74677,173453,1,1
17592,121867,1,1
121847,93947,1,1
112716,68375,1,1
78660,6599,1,1
49657,77731,1,1
156343,125819,1,1
97338,46649,1,1
73021,114484,1,1
135519,102864,1,1
126854,19158,1,1
131186,48843,1,1
11086,68375,1,1
165988,55301,1,1
102624,125819,1,1
105352,36898,1,1
89052,139585,1,1
59709,20248,1,1
2125,125720,1,1
23239,22372,1,1
152414,102864,1,1
84357,81991,1,1
123268,124721,1,1
9009,93947,1,1
95090,12737,1,1
144217,102864,1,1
131635,22372,1,1
21243,169006,1,1
13969,6599,1,1
21120,13969,1,1
89833,38128,1,1
45038,77163,1,1
38033,148442,1,1
159270,9399,1,1
6331,159411,1,1
175253,69992,1,1
147269,158966,1,1
169642,102864,1,1
142016,141461,1,1
131501,28419,1,1
82445,126273,1,1
128560,95663,1,1
90850,144217,1,1
26978,169814,1,1
123852,108711,1,1
16271,58670,1,1
61431,6599,1,1
161965,159037,1,1
13969,121867,1,1
126854,103147,1,1
77704,25890,1,1
74505,20111,1,1
128684,154096,1,1
135519,102864,1,1
59498,62221,1,1
31873,46475,1,1
35693,25890,1,1
73021,137282,1,1
163271,173494,1,1
97331,93682,1,1
123146,103679,1,1
34646,26400,1,1
81555,94181,1,1
171438,105352,1,1
50471,59926,1,1
11483,125900,1,1
149007,131290,1,1
77704,51187,1,1
67294,69720,1,1
127805,17270,1,1
159037,20248,1,1
78989,153106,1,1
36898,17951,1,1
6808,67086,1,1
89052,16002,1,1
79854,177260,1,1
147905,102864,1,1
121867,130523,1,1
104885,31668,1,1
125638,40374,1,1
17270,97573,1,1
121999,102864,1,1
160494,58670,1,1
118842,118842,1,1
119357,33082,1,1
13969,168702,1,1
65769,167791,1,1
130145,31668,1,1
45615,130455,1,1
165988,101393,1,1
56315,124721,1,1
145693,99163,1,1
72544,168182,1,1
102864,102864,1,1
140135,134298,1,1
58670,229,1,1
45830,102864,1,1
162715,100702,1,1
131290,25890,1,1
36287,102864,1,1
73021,58670,1,1
77873,159607,1,1
36369,89021,1,1
4899,31873,1,1
93682,35366,1,1
56315,62221,1,1
73021,141461,1,1
73021,77731,1,1
62221,6599,1,1
20319,12890,1,1
40160,33760,1,1
163114,127243,1,1
105714,102864,1,1
74677,89021,1,1
71846,20111,1,1
115609,20248,1,1
31873,75451,1,1
164704,125720,1,1
83512,10656,1,1
77059,2125,1,1
68051,31873,1,1
123003,121999,1,1
107948,118296,1,1
148226,165758,1,1
135519,134630,1,1
111990,46450,1,1
121999,102864,1,1
157020,158308,1,1
105352,174605,1,1
103840,100702,1,1
73021,31873,1,1
62221,102864,1,1
164770,167024,1,1
134752,102864,1,1
104724,26400,1,1
37263,108023,1,1
147232,69992,1,1
36506,78979,1,1
229,105352,1,1
3456,7570,1,1
54037,82922,1,1
78901,14684,1,1
18593,28419,1,1
111990,159411,1,1
67917,21089,1,1
56997,158308,1,1
169941,134630,1,1
112944,100702,1,1
83512,6236,1,1
54381,106172,1,1
41193,170520,1,1
116204,153628,1,1
75476,102864,1,1
84357,6236,1,1
98275,28558,1,1
28258,12737,1,1
43024,124513,1,1
128396,6599,1,1
89052,90850,1,1
117884,93947,1,1
77785,89954,1,1
82596,68051,1,1
3918,75451,1,1
68903,71926,1,1
89432,43024,1,1
143866,112721,1,1
56081,125401,1,1
152414,130455,1,1
86157,87903,1,1
26432,3209,1,1
107662,98957,1,1
27435,96001,1,1
62716,134630,1,1
54227,58670,1,1
72544,102864,1,1
59979,112080,1,1
97699,46649,1,1
93682,96924,1,1
84358,58670,1,1
162648,102864,1,1
137282,87903,1,1
14798,57130,1,1
47979,93682,1,1
84483,17554,1,1
16002,156872,1,1
71461,102864,1,1
67086,36675,1,1
72544,169814,1,1
89322,12737,1,1
173490,152389,1,1
81743,67086,1,1
88409,134296,1,1
89039,164867,1,1
146652,6599,1,1
160494,6545,1,1
109966,58670,1,1
66447,124548,1,1
153938,94181,1,1
20111,124721,1,1
29669,95857,1,1
61431,141461,1,1
14840,104885,1,1
164770,62323,1,1
88409,148612,1,1
59833,155109,1,1
73888,46868,1,1
118403,130646,1,1
149493,100663,1,1
67014,51187,1,1
163566,75138,1,1
175787,43316,1,1
164787,58670,1,1
46722,150781,1,1
112403,58670,1,1
7953,49944,1,1
174499,164867,1,1
57130,130455,1,1
55301,36489,1,1
4221,54499,1,1
125900,6599,1,1
86249,102864,1,1
147905,92381,1,1
98957,6599,1,1
169814,94181,1,1
8483,89973,1,1
49505,128034,1,1
17951,33082,1,1
99104,141051,1,1
8991,102864,1,1
52272,124540,1,1
161792,87903,1,1
153740,1887,1,1
164770,38128,1,1
165988,109411,1,1
18871,86901,1,1
56315,157760,1,1
73021,112958,1,1
50471,131267,1,1
83512,102864,1,1
9082,53800,1,1
169642,100702,1,1
59498,102864,1,1
87558,58670,1,1
77194,20111,1,1
146652,58670,1,1
73021,163114,1,1
107539,20739,1,1
42880,53983,1,1
67086,102864,1,1
42552,159411,1,1
9399,682,1,1
77704,75138,1,1
128624,101224,1,1
104586,6599,1,1
73021,130455,1,1
73021,9574,1,1
84357,158308,1,1
168209,25099,1,1
175673,6599,1,1
38128,102864,1,1
113427,46450,1,1
78746,102864,1,1
37199,102864,1,1
167791,158308,1,1
59622,102864,1,1
155985,102864,1,1
98957,40128,1,1
168702,167797,1,1
79557,81302,1,1
65404,12737,1,1
16002,130523,1,1
173938,6599,1,1
175734,128407,1,1
77194,84483,1,1
34360,78979,1,1
71427,58670,1,1
143866,87903,1,1
97573,34312,1,1
167024,102864,1,1
166535,102864,1,1
61398,6981,1,1
104586,4221,1,1
59498,46649,1,1
144217,115969,1,1
120400,45830,1,1
130934,132138,1,1
126854,20111,1,1
164867,89021,1,1
25755,141461,1,1
401,102864,1,1
56315,33082,1,1
159898,137913,1,1
48573,130523,1,1
105870,57800,1,1
31873,116479,1,1
73021,134752,1,1
54392,164867,1,1
84357,125720,1,1
147614,144387,1,1
46722,102864,1,1
151247,134586,1,1
38128,77194,1,1
45145,131501,1,1
126854,36386,1,1
87786,134630,1,1
2091,129957,1,1
57130,89021,1,1
111590,124540,1,1
103735,46450,1,1
83512,168182,1,1
156504,77347,1,1
59204,102371,1,1
143866,102864,1,1
164292,78989,1,1
87621,112080,1,1
162715,93947,1,1
59768,117201,1,1
140529,116985,1,1
164770,97736,1,1
158730,143193,1,1
43723,93947,1,1
106726,75698,1,1
22740,1179,1,1
62530,130867,1,1
135519,106862,1,1
33080,75138,1,1
18871,62056,1,1
175253,79005,1,1
57130,177260,1,1
95090,26400,1,1
89021,96858,1,1
48937,102864,1,1
148564,102864,1,1
70516,102864,1,1
44950,126984,1,1
34309,164704,1,1
49657,143193,1,1
76820,84853,1,1
155101,6599,1,1
71846,32913,1,1
31873,6599,1,1
38128,58670,1,1
69720,102864,1,1
136741,149723,1,1
61072,164704,1,1
164442,124269,1,1
95650,124540,1,1
123003,161438,1,1
75167,61398,1,1
124540,102864,1,1
112100,58670,1,1
10165,20111,1,1
167048,6599,1,1
126854,155985,1,1
87411,124548,1,1
159037,102864,1,1
75040,170520,1,1
8483,35366,1,1
130867,31668,1,1
121867,89021,1,1
87621,1976,1,1
175787,58107,1,1
34646,102864,1,1
36498,34260,1,1
22313,28603,1,1
50274,81604,1,1
159037,123885,1,1
134306,90645,1,1
30500,57156,1,1
74677,158308,1,1
131501,134586,1,1
86157,102864,1,1
59247,92488,1,1
87903,96823,1,1
139599,36386,1,1
29162,96001,1,1
81991,151950,1,1
159693,167192,1,1
13711,93947,1,1
25890,6599,1,1
72544,35366,1,1
98629,84483,1,1
175734,37700,1,1
155109,63295,1,1
107023,89432,1,1
152808,102864,1,1
36775,131635,1,1
48613,102864,1,1
153761,58670,1,1
50114,6599,1,1
14309,33868,1,1
166535,96001,1,1
22553,102864,1,1
103527,102864,1,1
17004,36898,1,1
79552,130714,1,1
110929,159260,1,1
10888,89021,1,1
75983,114943,1,1
73021,21089,1,1
84483,137913,1,1
134669,45000,1,1
95205,161552,1,1
126854,159411,1,1
159037,102864,1,1
111071,104885,1,1
152414,130455,1,1
67086,1179,1,1
73021,34236,1,1
137282,67086,1,1
16340,27435,1,1
155598,102864,1,1
108557,177260,1,1
130455,74134,1,1
30997,46649,1,1
31873,137203,1,1
86157,22372,1,1
132842,111990,1,1
40374,136131,1,1
93682,93947,1,1
81991,6599,1,1
175843,47104,1,1
103605,100702,1,1
121867,170023,1,1
65404,164770,1,1
73021,102601,1,1
43394,11142,1,1
159037,6599,1,1
98957,151724,1,1
57130,159037,1,1
11397,107421,1,1
77495,19158,1,1
73021,74814,1,1
102864,128560,1,1
136789,47770,1,1
129234,160046,1,1
129957,161552,1,1
102932,68051,1,1
57130,34260,1,1
6236,89432,1,1
173453,12737,1,1
5070,16002,1,1
29806,129392,1,1
167743,59682,1,1
65164,20739,1,1
165746,131635,1,1
75584,156422,1,1
36506,93947,1,1
130455,6066,1,1
9009,108711,1,1
44428,96001,1,1
73021,17554,1,1
102371,171698,1,1
165988,46649,1,1
81991,147754,1,1
86637,12737,1,1
96001,102864,1,1
27558,21089,1,1
36506,22372,1,1
14736,122563,1,1
81991,116479,1,1
2125,82159,1,1
34835,130523,1,1
134669,102864,1,1
123852,36898,1,1
43966,102864,1,1
63099,102864,1,1
59979,129957,1,1
59768,26071,1,1
81991,26432,1,1
174784,25907,1,1
14818,34260,1,1
41662,129392,1,1
102371,45697,1,1
164787,36386,1,1
46722,155006,1,1
50471,25215,1,1
164188,176015,1,1
21477,130455,1,1
84358,65448,1,1
68157,45697,1,1
142228,134752,1,1
81743,22204,1,1
141298,6467,1,1
165988,102864,1,1
36775,93947,1,1
136724,67629,1,1
144947,167024,1,1
164704,78781,1,1
89052,46620,1,1
38128,36506,1,1
89052,169383,1,1
69720,163624,1,1
84357,17814,1,1
21477,96924,1,1
151090,93947,1,1
130455,19515,1,1
32159,58670,1,1
166778,8330,1,1
164770,98957,1,1
71846,111071,1,1
73172,68375,1,1
164374,100702,1,1
164787,102864,1,1
59768,31668,1,1
467,57317,1,1
71926,77194,1,1
134669,10925,1,1
161360,64799,1,1
78660,89432,1,1
57130,106862,1,1
140744,112080,1,1
73021,102864,1,1
147905,165758,1,1
141334,46649,1,1
114874,102864,1,1
73021,141957,1,1
35976,97439,1,1
64346,128034,1,1
43966,93947,1,1
157020,12737,1,1
59749,100702,1,1
86249,20111,1,1
168359,141461,1,1
12737,150180,1,1
142805,112080,1,1
151385,67086,1,1
141298,142016,1,1
83490,130523,1,1
28534,147905,1,1
33096,168182,1,1
