from,to,comm_from,comm_to
8640,15276,1,1
163646,58670,1,1
152808,102864,1,1
63778,93682,1,1
27488,95063,1,1
36498,139585,1,1
105870,161965,1,1
55301,102864,1,1
169052,6599,1,1
123733,69193,1,1
124907,112080,1,1
45824,36775,1,1
102864,130523,1,1
43966,106862,1,1
73021,100702,1,1
111990,58670,1,1
150764,144440,1,1
125819,25890,1,1
164704,26400,1,1
91317,124721,1,1
107948,37398,1,1
34299,71926,1,1
148226,58670,1,1
29669,102864,1,1
175734,117664,1,1
108266,40651,1,1
129436,102864,1,1
83512,70686,1,1
122584,141461,1,1
43033,70686,1,1
164770,129392,1,1
77495,164867,1,1
149355,78979,1,1
124535,164770,1,1
135033,34260,1,1
164704,168182,1,1
76074,150991,1,1
34646,137282,1,1
65675,12890,1,1
1194,96001,1,1
10786,170071,1,1
36287,93947,1,1
38128,102601,1,1
136724,162753,1,1
155371,48843,1,1
50114,77194,1,1
10925,102864,1,1
43966,93947,1,1
55467,32174,1,1
164442,58670,1,1
119603,97573,1,1
49505,77731,1,1
166704,112080,1,1
73021,16367,1,1
155977,26071,1,1
63855,154248,1,1
93682,155585,1,1
161965,19158,1,1
167024,68105,1,1
96001,124540,1,1
66936,104885,1,1
43966,102864,1,1
110929,120328,1,1
51492,63245,1,1
76626,102864,1,1
53588,128034,1,1
161792,164770,1,1
83512,117201,1,1
4579,130455,1,1
103735,87903,1,1
175829,40160,1,1
81991,31668,1,1
34309,87903,1,1
53794,20111,1,1
121257,87621,1,1
55301,164704,1,1
13088,13969,1,1
95090,9082,1,1
81536,6236,1,1
93976,102864,1,1
16002,131618,1,1
108557,171070,1,1
160437,71946,1,1
103840,144217,1,1
48228,44428,1,1
17004,164770,1,1
57866,130455,1,1
61398,93947,1,1
124721,55474,1,1
55301,28746,1,1
15276,95063,1,1
82151,58670,1,1
49944,74814,1,1
87903,164867,1,1
87243,28419,1,1
16340,84635,1,1
58107,59979,1,1
73021,148086,1,1
169198,56985,1,1
95090,89021,1,1
16002,69323,1,1
59768,125819,1,1
164770,43798,1,1
73021,102864,1,1
116841,102864,1,1
124721,102864,1,1
23788,93308,1,1
91515,164704,1,1
152234,69992,1,1
36775,167678,1,1
77704,6599,1,1
174784,89432,1,1
160263,37263,1,1
155985,124721,1,1
98275,102864,1,1
148612,9878,1,1
159037,58670,1,1
2016,20248,1,1
150781,46620,1,1
46722,92488,1,1
105971,67192,1,1
134669,159037,1,1
166308,9399,1,1
71846,20248,1,1
63245,143076,1,1
81991,77433,1,1
57130,10925,1,1
176015,125720,1,1
84357,55301,1,1
157109,73681,1,1
110929,31668,1,1
88876,121663,1,1
65917,161552,1,1
76102,102864,1,1
108406,104885,1,1
134306,87903,1,1
59498,103679,1,1
170110,104885,1,1
84181,89021,1,1
62465,67192,1,1
73021,102864,1,1
173490,34299,1,1
73021,162407,1,1
34309,102864,1,1
125583,70328,1,1
163646,69193,1,1
17175,158308,1,1
116841,51187,1,1
97338,21089,1,1
73021,100702,1,1
54037,124540,1,1
95650,129126,1,1
135519,20111,1,1
37451,102864,1,1
63778,102864,1,1
144947,150991,1,1
155109,79449,1,1
41769,159411,1,1
119196,102864,1,1
129706,154072,1,1
44399,6599,1,1
31873,124540,1,1
74472,164704,1,1
158237,29463,1,1
75070,102864,1,1
69460,102864,1,1
154610,163624,1,1
152414,72066,1,1
155109,13969,1,1
110929,47349,1,1
34646,102864,1,1
157747,116712,1,1
141923,52505,1,1
130455,47770,1,1
56081,112080,1,1
56333,46649,1,1
69720,167024,1,1
135519,7893,1,1
153106,26400,1,1
45148,6236,1,1
46722,130145,1,1
35298,45830,1,1
21243,121257,1,1
114491,136402,1,1
35840,155109,1,1
3898,158308,1,1
34245,117439,1,1
150980,111130,1,1
51627,20111,1,1
43316,46450,1,1
31668,150980,1,1
142016,45697,1,1
2125,46649,1,1
164704,130523,1,1
98388,58670,1,1
124540,143193,1,1
103646,168945,1,1
37263,128560,1,1
16002,112716,1,1
12737,58670,1,1
160390,102864,1,1
27683,102864,1,1
67749,169814,1,1
81991,58670,1,1
75607,172415,1,1
111071,2747,1,1
81555,102864,1,1
109411,159411,1,1
45853,102864,1,1
74472,125819,1,1
63855,105803,1,1
67086,159037,1,1
46722,124540,1,1
9082,19158,1,1
164770,6599,1,1
98957,6599,1,1
62164,6599,1,1
154013,36898,1,1
104724,93947,1,1
160494,166394,1,1
81991,12737,1,1
16217,71289,1,1
112463,55301,1,1
163123,102864,1,1
13714,6599,1,1
34646,121999,1,1
110929,102864,1,1
137236,102864,1,1
167743,159607,1,1
118306,9399,1,1
50637,104885,1,1
159037,102864,1,1
29669,104885,1,1
92906,58670,1,1
91515,102864,1,1
37272,80638,1,1
73021,104885,1,1
111071,168182,1,1
59498,36898,1,1
6808,158308,1,1
169642,33082,1,1
175734,16017,1,1
22313,89021,1,1
159037,93947,1,1
124907,102864,1,1
93682,102864,1,1
175771,39363,1,1
159037,6599,1,1
16771,147905,1,1
44428,102371,1,1
174935,25890,1,1
67086,36898,1,1
73021,132580,1,1
28506,102864,1,1
36386,102864,1,1
64289,129126,1,1
175734,48347,1,1
131895,36898,1,1
38128,12890,1,1
150980,63855,1,1
73021,158308,1,1
54724,164704,1,1
73021,159037,1,1
29945,6599,1,1
124540,100702,1,1
45830,31873,1,1
34552,102864,1,1
164867,144136,1,1
110909,77194,1,1
135519,23398,1,1
141461,134630,1,1
82810,102624,1,1
174784,102864,1,1
38128,159037,1,1
11397,55301,1,1
103840,58523,1,1
61431,38158,1,1
167024,32103,1,1
85451,159607,1,1
50274,102864,1,1
31668,15175,1,1
56333,55301,1,1
63643,20111,1,1
166535,102864,1,1
68375,113001,1,1
125720,130455,1,1
73021,102864,1,1
73888,169083,1,1
144947,125819,1,1
71926,102864,1,1
110929,46450,1,1
156395,48641,1,1
125720,141461,1,1
89432,124540,1,1
48347,148690,1,1
67917,102864,1,1
173453,112080,1,1
142228,77785,1,1
34360,102864,1,1
59498,164704,1,1
71846,148047,1,1
111990,62175,1,1
177260,131285,1,1
164770,6599,1,1
59979,70419,1,1
95090,166704,1,1
69720,9399,1,1
467,91426,1,1
34646,53787,1,1
40374,87903,1,1
44361,116479,1,1
74827,106098,1,1
123003,1524,1,1
93947,125372,1,1
126854,160895,1,1
128560,112944,1,1
115597,102864,1,1
80994,130867,1,1
87903,67192,1,1
143866,114484,1,1
146768,92924,1,1
53794,58670,1,1
1494,123851,1,1
119196,128034,1,1
107374,75451,1,1
97323,36386,1,1
164770,46450,1,1
33677,56315,1,1
34607,109411,1,1
133790,17554,1,1
142016,125372,1,1
124269,36506,1,1
96001,102864,1,1
86249,160895,1,1
110929,167791,1,1
164704,22740,1,1
67749,130523,1,1
71846,111130,1,1
105172,46649,1,1
77929,96001,1,1
119196,68375,1,1
18929,68051,1,1
56081,44482,1,1
149007,41971,1,1
46722,97573,1,1
96694,102864,1,1
93970,102864,1,1
36386,158308,1,1
130714,122613,1,1
169052,58670,1,1
59204,20111,1,1
37451,45830,1,1
46890,31923,1,1
57130,102864,1,1
161442,75451,1,1
81604,97547,1,1
43024,141461,1,1
128560,49054,1,1
128679,164787,1,1
157109,151950,1,1
121847,102864,1,1
57866,169814,1,1
165988,141461,1,1
114828,12153,1,1
129442,76626,1,1
88934,129392,1,1
10786,117439,1,1
23500,75451,1,1
148806,3209,1,1
