from,to,comm_from,comm_to
101968,102864,1,1
51501,49505,1,1
170646,5536,2,2
172115,58670,1,1
87672,33309,1,1
30092,5536,2,2
103865,95063,1,1
156504,102864,1,1
171698,134630,1,1
87672,164867,1,1
75543,42450,2,2
75543,125720,2,1
97434,63855,2,1
75543,155947,2,2
87672,20111,1,1
95811,12737,1,1
139326,42450,2,2
120208,141461,1,1
97434,63855,2,1
75543,71734,2,2
141298,12737,1,1
97434,63855,2,1
151669,152385,1,1
44325,15368,2,2
124721,152385,1,1
152513,81604,2,1
152513,144136,2,1
152513,163646,2,1
152513,171256,2,1
97434,63855,2,1
157269,96001,1,1
157269,102864,1,1
157269,128034,1,1
156963,155947,2,2
54116,77785,1,1
152513,144136,2,1
152513,163646,2,1
152513,171256,2,1
67014,16771,1,1
67014,16002,1,1
122584,90850,1,1
54031,384,2,2
75983,29724,1,1
161830,141461,1,1
120208,90850,1,1
159793,155947,2,2
36498,90850,1,1
157109,93947,1,1
53588,125720,1,1
124003,152385,1,1
164374,8640,1,1
117884,29724,1,1
90850,36498,1,1
90850,28840,1,2
90850,93947,1,1
130455,134630,1,1
150306,93682,1,1
130455,139221,1,1
164374,8640,1,1
164374,12737,1,1
42450,149869,2,2
164374,89432,1,1
28771,135588,2,2
72391,106862,1,1
101447,155947,2,2
75543,42450,2,2
46722,90687,1,1
108373,20111,1,1
75543,75612,2,2
49505,102864,1,1
49505,51187,1,1
49505,2314,1,1
49505,102371,1,1
49505,46649,1,1
86249,152385,1,1
75766,103974,2,2
54787,135588,2,2
130455,71926,1,1
46722,77785,1,1
46722,141461,1,1
44497,42450,2,2
46722,130523,1,1
157109,124540,1,1
101447,30305,2,2
101447,102864,2,1
46722,36386,1,1
46722,164770,1,1
36898,77785,1,1
46722,56081,1,1
46722,36386,1,1
46722,162407,1,1
46722,164770,1,1
111130,34004,1,1
152513,150819,2,1
152513,102864,2,1
152513,28840,2,2
152513,34225,2,2
152513,149869,2,2
42450,142854,2,2
42450,142854,2,2
101447,116093,2,2
68157,149834,1,1
75766,75612,2,2
117884,134630,1,1
18593,141461,1,1
67086,6599,1,1
77704,162553,1,1
77704,40374,1,1
23536,137522,2,2
156071,77194,2,1
116093,87903,2,1
33760,164867,1,1
154248,22372,1,1
71846,36506,1,1
384,47405,2,2
29673,54831,2,2
29673,90395,2,2
29673,75766,2,2
53588,162553,1,1
53588,40374,1,1
50228,162553,1,1
50228,40374,1,1
30966,36675,1,1
77704,26400,1,1
384,42450,2,2
77704,102864,1,1
13714,159037,1,1
11612,159037,1,1
11612,46450,1,1
384,170646,2,2
93308,22372,1,1
11612,40374,1,1
149869,149869,2,2
13714,93947,1,1
56164,58916,1,1
56164,93947,1,1
77704,124540,1,1
77704,106016,1,1
77704,124540,1,1
77704,40374,1,1
77704,162553,1,1
77704,124540,1,1
77704,20248,1,1
77704,6599,1,1
4579,6599,1,1
77704,6599,1,1
29673,22386,2,2
52442,137522,2,2
52442,25890,2,1
93970,130714,1,1
154013,6599,1,1
77704,102864,1,1
75766,90395,2,2
75766,75766,2,2
58916,93947,1,1
124540,52272,1,1
124540,6599,1,1
62530,71846,1,1
77704,161965,1,1
150235,128180,2,2
131510,135880,1,1
64438,130714,1,1
131510,22372,1,1
36489,124540,1,1
93970,105352,1,1
74859,161965,1,1
100308,100308,2,2
22527,159607,1,1
124540,6599,1,1
130867,36675,1,1
101224,36675,1,1
52442,120206,2,2
77704,17814,1,1
97323,124540,1,1
131510,130714,1,1
116093,46649,2,1
33760,162553,1,1
33760,40374,1,1
64289,121999,1,1
82539,130714,1,1
91042,36675,1,1
65244,128180,2,2
29673,137522,2,2
97323,6599,1,1
73172,22372,1,1
73021,102864,1,1
93970,117439,1,1
150235,77194,2,1
150235,134630,2,1
150235,134630,2,1
76683,75612,2,2
76683,31668,2,1
52442,42450,2,2
52442,33082,2,1
54227,17814,1,1
52442,128180,2,2
73021,162553,1,1
73021,40374,1,1
36506,102864,1,1
73021,102864,1,1
156923,42450,2,2
156923,33082,2,1
127318,42450,2,2
467,130714,1,1
75766,28621,2,2
20248,124540,1,1
20248,20248,1,1
20248,6599,1,1
57197,22372,1,1
11483,130714,1,1
97530,19158,1,1
93682,6599,1,1
22527,134630,1,1
165758,159037,1,1
57197,33677,1,1
75766,170646,2,2
6808,124540,1,1
52442,114560,2,2
176820,124540,1,1
176820,40374,1,1
176820,162553,1,1
176820,124540,1,1
176820,20248,1,1
176820,6599,1,1
121257,162553,1,1
121257,40374,1,1
89352,6599,1,1
93682,124540,1,1
93682,40374,1,1
93682,162553,1,1
75766,42450,2,2
54831,148806,2,1
65244,128180,2,2
3209,6599,1,1
62530,17814,1,1
112702,17814,1,1
9124,42450,2,2
9124,33082,2,1
82445,19158,1,1
111071,40374,1,1
78989,102864,1,1
38128,93947,1,1
38128,84483,1,1
38128,36506,1,1
38128,130455,1,1
111071,48843,1,1
65244,128180,2,2
65675,158237,1,1
26400,102864,1,1
36506,125819,1,1
36506,93947,1,1
36506,130455,1,1
36506,84483,1,1
26400,102864,1,1
37199,22372,1,1
93682,93947,1,1
93682,84483,1,1
93682,36506,1,1
93682,130455,1,1
74859,102864,1,1
41885,128180,2,2
56164,6599,1,1
132625,137522,2,2
132625,25890,2,1
59979,121257,1,1
82445,130714,1,1
37199,158237,1,1
26400,102864,1,1
65244,128180,2,2
59979,77194,1,1
131510,6599,1,1
37199,102864,1,1
22527,78979,1,1
162553,6599,1,1
111071,6599,1,1
37199,105352,1,1
156071,42450,2,2
59443,6553,1,1
74859,124540,1,1
74859,106016,1,1
54831,116093,2,2
74859,124540,1,1
74859,40374,1,1
74859,162553,1,1
93947,125819,1,1
93947,36506,1,1
93947,130455,1,1
93947,84483,1,1
34419,102864,1,1
98957,6599,1,1
74859,124540,1,1
74859,20248,1,1
74859,6599,1,1
93682,93947,1,1
156872,124540,1,1
156872,40374,1,1
156872,162553,1,1
111071,5555,1,1
164374,58670,1,1
14875,6599,1,1
103012,6553,1,1
173616,124540,1,1
173616,106016,1,1
23536,67104,2,2
173616,124540,1,1
173616,40374,1,1
173616,162553,1,1
81991,36675,1,1
156071,44325,2,2
173616,124540,1,1
173616,20248,1,1
173616,6599,1,1
33760,6599,1,1
81577,102864,1,1
13358,17814,1,1
91361,45697,1,1
2819,81604,1,1
17814,34260,1,1
122688,74996,1,1
122688,33082,1,1
38128,36287,1,1
159873,137522,2,2
2101,17990,1,1
2101,34646,1,1
159873,47405,2,2
93947,84483,1,1
93947,36506,1,1
93947,130455,1,1
103012,7937,1,1
111071,86180,1,1
111071,111071,1,1
72643,103735,2,1
82445,58670,1,1
103012,71846,1,1
150803,7937,1,1
124540,106016,1,1
33760,71846,1,1
87621,6599,1,1
52272,6599,1,1
71582,133606,1,2
36675,28840,1,2
53140,141461,1,1
168359,6599,1,1
46182,40374,1,1
62530,60330,1,1
73021,135880,1,1
59682,1524,1,1
1976,124540,1,1
1976,20248,1,1
1976,6599,1,1
59979,22372,1,1
161547,83437,1,1
161547,161547,1,1
10129,92924,2,1
10129,57800,2,1
36287,159607,1,1
170646,149869,2,2
59979,162553,1,1
59979,40374,1,1
87621,130714,1,1
106726,22372,1,1
101968,17814,1,1
2101,34260,1,1
38724,124540,1,1
38724,40374,1,1
38724,162553,1,1
38724,124540,1,1
38724,20248,1,1
38724,6599,1,1
43033,36506,1,1
43033,93947,1,1
43033,130455,1,1
43033,84483,1,1
53935,162553,1,1
53935,40374,1,1
53935,100702,1,1
150803,117439,1,1
17814,34260,1,1
11612,40374,1,1
170646,156071,2,2
93947,36506,1,1
93947,93947,1,1
93947,130455,1,1
93947,84483,1,1
88934,55467,1,1
88934,129706,1,1
88934,28707,1,1
11612,102864,1,1
130714,124721,1,1
162081,17814,1,1
114560,149869,2,2
114560,46649,2,1
101968,124540,1,1
101968,20248,1,1
101968,6599,1,1
36506,22372,1,1
36506,33082,1,1
36506,130455,1,1
36506,84483,1,1
177260,26400,1,1
46475,36506,1,1
46475,93947,1,1
46475,130455,1,1
46475,84483,1,1
101224,124540,1,1
101224,40374,1,1
101224,162553,1,1
101224,124540,1,1
101224,20248,1,1
101224,6599,1,1
129706,40374,1,1
168209,124540,1,1
168209,20248,1,1
168209,6599,1,1
73021,78979,1,1
170646,47405,2,2
71582,104885,1,1
67086,158308,1,1
136724,6599,1,1
119196,53588,1,1
175798,105352,1,1
116204,6599,1,1
73021,45697,1,1
119196,6599,1,1
74859,102864,1,1
18161,6599,1,1
28417,6599,1,1
124540,40374,1,1
124540,162553,1,1
119196,125720,1,1
119196,31668,1,1
119196,33082,1,1
119196,134630,1,1
119196,43024,1,1
119196,46450,1,1
119196,3808,1,1
155307,123662,2,2
38128,36506,1,1
38128,93947,1,1
38128,130455,1,1
38128,84483,1,1
107662,124540,1,1
107662,20248,1,1
107662,6599,1,1
16340,36506,1,1
16340,93947,1,1
16340,130455,1,1
16340,84483,1,1
119196,124540,1,1
119196,20248,1,1
116204,120208,1,1
116204,77194,1,1
116204,22386,1,2
87621,124540,1,1
87621,20248,1,1
87621,6599,1,1
119196,102864,1,1
3209,124540,1,1
3209,20248,1,1
3209,6599,1,1
81408,102864,1,1
74859,26400,1,1
119196,161965,1,1
165842,6599,1,1
90850,124540,1,1
90850,20248,1,1
90850,6599,1,1
42450,44325,2,2
46475,173453,1,1
93682,36506,1,1
93682,93947,1,1
93682,130455,1,1
93682,84483,1,1
119196,6599,1,1
43966,124540,1,1
43966,20248,1,1
43966,6599,1,1
177020,105352,1,1
46475,20248,1,1
77194,120208,1,1
77194,77194,1,1
77194,22386,1,2
170646,42450,2,2
170646,33082,2,1
42450,128180,2,2
44497,90395,2,2
73021,19158,1,1
119196,74859,1,1
154248,34312,1,1
119196,105352,1,1
73021,164374,1,1
