from,to,comm_from,comm_to
96341,96341,2,2
82810,26209,1,1
54499,164292,1,1
96341,96341,2,2
96341,96341,2,2
168209,59926,1,1
75451,26071,1,1
96341,96341,2,2
160390,12737,1,1
75766,164758,2,2
63213,12737,1,1
16002,75451,1,1
131501,148113,1,1
63213,96858,1,1
63213,12737,1,1
81536,31668,1,1
81536,20739,1,1
127688,109969,2,2
127688,149869,2,2
54499,78595,1,1
25755,164867,1,1
20111,168132,1,1
63213,43227,1,1
97141,130455,1,1
25755,102864,1,1
119196,140497,1,1
119196,58670,1,1
9124,97434,2,2
9124,134306,2,1
10129,149365,2,2
173494,16771,1,1
173494,131635,1,1
173494,173494,1,1
173494,1524,1,1
96341,96341,2,2
10129,109969,2,2
158547,36898,1,1
173494,67917,1,1
173494,12737,1,1
173494,173494,1,1
155985,31668,1,1
155985,20739,1,1
132625,76627,2,2
32906,150781,1,1
46756,53787,1,1
467,99163,1,1
9124,97434,2,2
102576,31668,1,1
102576,20739,1,1
74472,58670,1,1
74472,73681,1,1
142228,99163,1,1
170646,99163,2,1
13467,27411,1,1
10129,108707,2,2
81991,31668,1,1
81991,20739,1,1
111603,173661,1,1
10129,149869,2,2
36857,102864,1,1
36857,20739,1,1
119196,174784,1,1
96341,96341,2,2
81991,78979,1,1
81991,65682,1,1
96341,96341,2,2
96341,96341,2,2
119196,154744,1,1
89352,167024,1,1
89352,6599,1,1
75451,102864,1,1
142228,140497,1,1
36857,102864,1,1
124003,20692,1,1
111857,78500,1,1
121450,173693,1,1
131186,130145,1,1
33677,6236,1,1
79828,167024,1,1
79828,6599,1,1
79828,69992,1,1
44573,46450,1,1
168209,26209,1,1
107516,27411,1,1
124003,31668,1,1
124003,20739,1,1
10728,12737,1,1
47405,142347,2,2
47405,22386,2,2
47405,47405,2,2
119196,36506,1,1
119196,6599,1,1
78979,65682,1,1
89352,129392,1,1
124796,70559,2,2
153103,36287,1,1
124796,173588,2,2
146768,71926,1,1
16002,10925,1,1
