from,to,comm_from,comm_to
164787,137913,1,1
119196,90645,1,1
131290,102864,1,1
108557,58670,1,1
57130,9399,1,1
95650,71846,1,1
73021,132811,1,1
89352,51187,1,1
2619,34835,1,1
84424,168702,1,1
11231,102864,1,1
82596,131510,1,1
45697,129442,1,1
73021,71867,1,1
137030,102371,1,1
55301,51187,1,1
71867,12890,1,1
135559,107374,1,1
152414,167024,1,1
88236,124548,1,1
114840,93947,1,1
165758,137913,1,1
141486,32018,1,1
147905,164704,1,1
174784,17270,1,1
87786,27411,1,1
160913,102864,1,1
73021,104885,1,1
73021,164770,1,1
87621,102864,1,1
127176,55474,1,1
135519,46450,1,1
109966,154248,1,1
150653,28707,1,1
38128,81715,1,1
73021,139585,1,1
170520,13088,1,1
59709,58670,1,1
36498,168209,1,1
77704,159607,1,1
157109,109012,1,1
61431,144136,1,1
63213,155109,1,1
6236,85126,1,1
48812,123535,1,1
155924,74505,1,1
40099,65404,1,1
130145,16002,1,1
73021,36675,1,1
41240,173461,1,1
77704,7127,1,1
159898,143193,1,1
73021,167024,1,1
139705,135880,1,1
171551,102864,1,1
17270,93682,1,1
78660,111130,1,1
174478,4346,1,1
147905,154096,1,1
135480,112716,1,1
170622,114840,1,1
143282,142169,1,1
56081,10925,1,1
59979,77163,1,1
173938,96001,1,1
95090,130646,1,1
167791,100137,1,1
137282,164704,1,1
57130,116479,1,1
125207,130523,1,1
149641,164867,1,1
69720,18963,1,1
100137,18320,1,1
123931,102864,1,1
104586,102864,1,1
93947,150991,1,1
2819,102864,1,1
229,93682,1,1
74677,58670,1,1
175870,13088,1,1
79566,70529,1,1
36898,105352,1,1
43570,130523,1,1
156422,88236,1,1
34309,44428,1,1
5978,162407,1,1
46722,101224,1,1
83172,17554,1,1
73888,31668,1,1
169814,147754,1,1
48589,121257,1,1
74677,7496,1,1
9082,78605,1,1
148564,6236,1,1
66181,156769,1,1
148806,161965,1,1
93682,124721,1,1
59833,71846,1,1
77731,57064,1,1
149007,8640,1,1
46722,93947,1,1
34288,26432,1,1
129010,102864,1,1
73455,10925,1,1
131290,12890,1,1
31873,168359,1,1
72544,27411,1,1
108779,96001,1,1
149650,19158,1,1
162407,46450,1,1
116479,22665,1,1
73021,130523,1,1
10786,102864,1,1
34646,31668,1,1
10786,6599,1,1
97573,124540,1,1
32174,93947,1,1
33096,26400,1,1
164704,97573,1,1
174805,57315,1,1
69932,164770,1,1
54227,6236,1,1
105356,102864,1,1
93970,102864,1,1
131442,13969,1,1
17990,93947,1,1
168182,104885,1,1
162527,102864,1,1
177020,110633,1,1
9082,167024,1,1
31873,111130,1,1
175734,154219,1,1
53935,69992,1,1
123003,34459,1,1
34309,147905,1,1
168702,159037,1,1
131618,6599,1,1
154013,129126,1,1
126854,87903,1,1
36498,114484,1,1
21313,20248,1,1
73021,20111,1,1
166535,159607,1,1
91906,71150,1,1
103605,153607,1,1
74677,72288,1,1
113317,45697,1,1
70680,130523,1,1
1803,32174,1,1
150781,92124,1,1
