from,to,comm_from,comm_to
20319,100702,1,1
28707,102864,1,1
16002,100702,1,1
130455,26400,1,1
124535,34260,1,1
30966,17814,1,1
83490,45697,1,1
83512,6599,1,1
36498,90645,1,1
135538,87903,1,1
20111,102864,1,1
110929,102864,1,1
63091,102864,1,1
86878,159607,1,1
102864,106353,1,1
90162,81991,1,1
64542,102864,1,1
63778,82922,1,1
162553,159411,1,1
157396,163624,1,1
45824,74159,1,1
38826,141461,1,1
164704,92520,1,1
11397,159607,1,1
41768,121999,1,1
131501,17554,1,1
93322,51644,1,1
70529,71846,1,1
138286,150180,1,1
43966,75451,1,1
141299,36386,1,1
131501,112080,1,1
52505,130523,1,1
87621,129392,1,1
87621,47770,1,1
164796,153761,1,1
156398,69992,1,1
73021,68051,1,1
68418,146652,1,1
173616,64723,1,1
95090,159037,1,1
92630,73957,1,1
68483,164704,1,1
93947,129957,1,1
90530,129126,1,1
121847,89432,1,1
29669,158308,1,1
73455,129126,1,1
20248,102864,1,1
77704,89021,1,1
98957,102864,1,1
78989,97573,1,1
13969,62221,1,1
173938,81604,1,1
34004,66181,1,1
45830,13088,1,1
173616,6981,1,1
144136,80314,1,1
89052,43966,1,1
54499,130867,1,1
146652,92124,1,1
46722,168182,1,1
19158,12890,1,1
158308,108779,1,1
135840,68375,1,1
164704,169383,1,1
81160,125216,1,1
130455,102864,1,1
164374,108779,1,1
63030,102864,1,1
164796,142016,1,1
82445,140497,1,1
9009,102864,1,1
164770,116479,1,1
119196,67192,1,1
37830,66052,1,1
154219,124003,1,1
128560,141461,1,1
11483,103012,1,1
55301,102864,1,1
62323,174784,1,1
156648,36675,1,1
169052,140497,1,1
67086,108779,1,1
97323,161552,1,1
144947,160886,1,1
22204,99163,1,1
74677,102864,1,1
16217,36386,1,1
164770,12890,1,1
123851,35232,1,1
136724,39856,1,1
16963,105352,1,1
73021,14840,1,1
121042,6236,1,1
82411,58670,1,1
110633,120949,1,1
124721,67086,1,1
165988,82922,1,1
42888,57800,1,1
105356,148113,1,1
165988,170436,1,1
70148,164770,1,1
74677,102864,1,1
141334,138713,1,1
16002,102864,1,1
164770,143193,1,1
89052,92520,1,1
168723,159607,1,1
128370,39832,1,1
59993,164704,1,1
168182,22372,1,1
56164,6236,1,1
73021,87903,1,1
79200,31668,1,1
59979,94629,1,1
93970,58670,1,1
34309,58670,1,1
166239,165758,1,1
131221,17951,1,1
89052,43024,1,1
164787,102371,1,1
129392,166704,1,1
12296,102864,1,1
128396,12890,1,1
60827,46649,1,1
81536,102864,1,1
135134,89432,1,1
73021,1976,1,1
143282,44428,1,1
162407,97141,1,1
56081,102864,1,1
28506,28304,1,1
2819,102864,1,1
130523,69476,1,1
55301,102864,1,1
173938,156872,1,1
69476,93947,1,1
173938,34004,1,1
168116,134630,1,1
87867,69193,1,1
39079,78979,1,1
117201,40437,1,1
73021,104885,1,1
129442,102864,1,1
467,27178,1,1
75584,158308,1,1
164796,141461,1,1
32720,27869,1,1
121561,89021,1,1
6808,143193,1,1
50048,136723,1,1
34646,4346,1,1
8640,74859,1,1
157747,36675,1,1
69720,31873,1,1
161505,58670,1,1
46722,15589,1,1
67086,93947,1,1
134752,36898,1,1
66181,13969,1,1
175734,159037,1,1
5389,93682,1,1
164704,108711,1,1
102864,78969,1,1
3172,6599,1,1
52179,102864,1,1
167791,31668,1,1
135519,40651,1,1
165515,142022,1,1
46756,167024,1,1
58644,102864,1,1
14798,125401,1,1
52526,69992,1,1
6599,104885,1,1
104586,93682,1,1
137913,129126,1,1
152389,21313,1,1
71846,102864,1,1
155109,25890,1,1
87786,132367,1,1
78901,13969,1,1
36287,92924,1,1
141334,143193,1,1
88934,46649,1,1
93970,87903,1,1
78660,105352,1,1
65769,21089,1,1
157020,99163,1,1
57130,52505,1,1
117979,36386,1,1
161965,116479,1,1
45415,73455,1,1
38128,89432,1,1
172398,116479,1,1
43966,170990,1,1
6599,31873,1,1
90687,89021,1,1
154551,31715,1,1
150980,20111,1,1
95090,19158,1,1
73888,160895,1,1
156769,102864,1,1
34245,34245,1,1
124721,141461,1,1
97331,102864,1,1
11397,100702,1,1
131895,36898,1,1
128684,17270,1,1
77194,44428,1,1
36506,20111,1,1
29162,107717,1,1
36898,172398,1,1
84483,6599,1,1
39153,159411,1,1
131501,141461,1,1
101968,137156,1,1
89180,76074,1,1
46722,77836,1,1
65769,26071,1,1
49569,102864,1,1
166239,121257,1,1
107023,107421,1,1
160390,93947,1,1
73021,141461,1,1
108001,6553,1,1
124721,165774,1,1
167024,164106,1,1
26037,96001,1,1
43606,154248,1,1
103207,159037,1,1
46620,105803,1,1
71582,12737,1,1
63855,17554,1,1
57130,45000,1,1
49569,57012,1,1
173439,89432,1,1
110207,128034,1,1
159037,59285,1,1
62221,102864,1,1
175787,102864,1,1
25720,35366,1,1
36287,67192,1,1
82810,102864,1,1
44231,164704,1,1
123852,106016,1,1
64346,44482,1,1
129126,75138,1,1
175734,12890,1,1
135519,58670,1,1
132454,102864,1,1
90530,68375,1,1
144947,102864,1,1
103147,125720,1,1
102864,57800,1,1
141486,112716,1,1
46722,167354,1,1
