from,to,comm_from,comm_to
170646,47405,2,2
119196,124540,1,1
119196,19158,1,1
170646,76627,2,2
153180,75612,2,2
174530,75612,2,2
174530,46649,2,1
171698,141461,1,1
36675,149869,1,2
36675,34225,1,2
84635,102864,1,1
103865,102864,1,1
156963,114560,2,2
141486,55474,1,1
96858,102864,1,1
148806,6599,1,1
31873,121847,1,1
31873,31873,1,1
96858,118334,1,1
167024,102864,1,1
170646,133606,2,2
170646,28379,2,2
167024,58670,1,1
167024,58670,1,1
167024,46649,1,1
81991,129957,1,1
384,44325,2,2
167024,58670,1,1
119196,26400,1,1
12737,26986,1,1
12737,12737,1,1
54381,130455,1,1
45038,58670,1,1
75766,86839,2,2
75766,46649,2,1
11397,83512,1,1
170646,145612,2,2
14736,109056,1,2
14736,46649,1,1
14736,32018,1,1
14736,102864,1,1
43761,46649,1,1
121847,31873,1,1
156504,54227,1,1
176015,130455,1,1
38128,129957,1,1
151159,40374,1,1
159873,174293,2,2
159693,130455,1,1
97573,3209,1,1
170646,84851,2,2
121999,31027,1,1
81991,124003,1,1
59145,59145,1,1
122628,58670,1,1
122628,167024,1,1
122628,6599,1,1
175798,139585,1,1
93947,130455,1,1
86319,129957,1,1
72544,171070,1,1
125720,130455,1,1
75766,156071,2,2
124845,3209,1,1
124845,6599,1,1
156963,114560,2,2
156963,11222,2,1
2101,158782,1,1
130455,46649,1,1
109012,171070,1,1
111990,58670,1,1
141486,89432,1,1
141486,167024,1,1
141486,6599,1,1
124540,3209,1,1
124540,6599,1,1
168359,130455,1,1
36675,34225,1,2
101447,42450,2,2
97573,58670,1,1
54031,86544,2,2
54031,54031,2,2
54031,69555,2,2
54031,91841,2,2
54031,26290,2,2
54031,145442,2,2
54031,109969,2,2
54031,66579,2,2
56409,149560,2,2
56409,149560,2,2
56409,145045,2,2
56409,137996,2,2
81991,169814,1,1
56409,149560,2,2
56409,149560,2,2
56409,145045,2,2
86544,54031,2,2
86544,69555,2,2
86544,91841,2,2
86544,26290,2,2
86544,145442,2,2
86544,109969,2,2
86544,66579,2,2
86544,65244,2,2
86544,96341,2,2
86544,76105,2,2
101447,39007,2,2
170646,47405,2,2
74505,107737,1,1
